Uke	Varighet	Dato	Modul	Gjesteforelesere	Ansvarlig	Tema	1. time	2. time	3. time
2	Seminar - 3t	07.01.2025 12:15	Introduksjon	Alexander, Håvard (fysisk)	Geir & Hallgeir	Velkommen og motivasjon. Forventninger.	Intro/Motivasjon: Johnny Welle (Kartverket), Leif Arne Brandsæter (Norkart CEO) og Hilde Inntjore. Geir: Fag-struktur, forelesningsplan, evaluering, praktisk. 	Håvard og Alexander: Motivasjon for faget. Hvordan blir kartet til? Kartdata mer enn papirkartet. Eksempler på GIS-bruk i samfunnet. Hvordan tenker en "GIS-utvikler". Hvorfor er KI viktig? Sikkerhetspolitisk, Beredskap, Miljø/Klima, Byvekstavtalen / Kristiansand. 	Praktisk installasjons-lab. Verktøy vi skal bruke (QGIS (med osgeo4w med path), GDAL/OGR, vscode, postman/thunderclient docker/rancher, colab / python-environment, Supabase, github m.m.). Litteratur/nyttige linker/tips/tricks. 
3	Seminar - 3t	14.01.2025 12:15	Geografiske informasjonssystemer	Ivar, Alexander	Håvard (fysisk)	Standarder, koordinatsystemer, formater, tjenester, datasett, geografiske infrastruktur	Standarder, projeksjoner, formater, tjenester, norges geografiske infrastruktur	Oppgave: geojson.io, epsg.io, proj-bibliotek, Prøve ut GeoNorge. Norgeibilder. NaturalEarth-datasett. Nyttige datasett: NaturalEarth, GeoNorge, Kartverkets API, OpenStreetMap	Hent data fra GeoNorge, Høydedata, Postman-testing: WMS-kall, REST-API'er: kommune, stedsnavn, nominatim, transformasjons-API. Teste projeksjoner i webløsninger. (https://www.thetruesize.com) [Alex lager kanskje: Colab-tutorial: Projeksjoner på countries. med tissot-indicatrix]
4	Seminar - 3t	21.01.2025 12:15	Geografiske informasjonssystemer	Maléne Peterson	Alexander	Visualisering og kartografi	Visualisering og kartografi	QGIS intro 30 minutter show and tell. 	Oppgaver: QGIS: Laste inn data (WMS + filer). Bearbeide data (klipp og eksport). Lage et temakart. Lage et koropleth-kart. 
5	Seminar 5t	28.01.2025 10:15	Geografiske informasjonssystemer			Arbeidstid - stud.ass	Arbeidstid - stud.ass	Større gruppe-oppgave med innlevering: Klima/miljø, beredskap e.l. Sette sammen flere datasett, WMS-tjenester ++++. Lage flere tema-kart som viser/forklarer problemstillingen på ulike måter. 	Innlevering eksporterte kart og link til repository med datasett. God README.md.
6	Seminar - 3t	04.02.2025 12:15	Geografisk IT-utvikling	Alexander	Håvard (fysisk)	Geografisk webutvikling	Geografisk utvikling og arkitektur: Hvordan henger WEB og GIS sammen. Hvordan sette opp Leaflet og OpenLayers? Nevne MapLibre.	Lage ulike kartvisualiseringer: Leaflet og OpenLayers. Laste inn data og visualisere. Interaktivitet!	Leaflet-øving
7	Seminar - 3t	11.02.2025 12:15	Geografisk IT-utvikling	Håvard	Alexander	Geografiske databaser og cloud native	Hva gjør romlige databaser spesielt? Hvilke ulike typer har vi? Indekseringsalgoritmer for spatial. ST_SQL - oppslag og analyser.	Last inn data (QGIS, OGR, Python/DuckDB) og prøv ut ST_SQL. 	Oppgave: Filtrer og sammenstill data med ST_SQL
8	Seminar - 3t	18.02.2025 12:15	Geografisk IT-utvikling			Oppsummering og LA-tid	Vinterferie	LA'er tilgjengelig. 	Større gruppeoppgave med Innlevering: Webkart med interaktivitet og som viser resultatdata. God README.md
9	Seminar 5t	24.02.2025 10:15	Geografisk IT-utvikling		Amna	Inspirasjonsdag - IoT, KI og GIS	Frode Ågedal (Intoto), Knut Lindland, Arnt Aske, GunnarL, Endre Sundsdal, Kamilla Sharma, Cathrine Stien, Lars Fredrik Gyland	Korte "faglige" innlegg om teknologi, data, behov. Oppsummerende panelsamtale	
10	Seminar - 3t	04.03.2025 12:15	KI og GIScience	Maléne Peterson, Håvard	Alexander	GIS Analyser	QGIS analyser + prøv selv	PostGIS SQL + prøv selv	
11	Seminar - 3t	11.03.2025 12:15	KI og GIScience	Julie (tieto)	Alexander	GIS Analyser	Avansert SQL + prøv selv	Python/GeoPandas + prøv selv	
12	Seminar - 3t	18.03.2025 12:15	KI og GIScience		(alexander) Rebekka Omlandsseter	KI - Introduksjon	Maskinlæring + prøv selv	Intro til KI-metoder + prøv selv	Intro til LLM + prøv selv
13	Seminar 5t	25.03.2025 10:15	KI og GIScience			Arbeidstid - stud.ass			Innlevering: python notebook 
14	Seminar - 3t	01.04.2025 12:15	KI og GIScience		(alexander) Mathilde Ørstavik	KI - Computer Vision	Object detection + prøv selv	Segmentering + prøv selv	
15	Seminar - 3t	08.04.2025 12:15	KI og GIScience			Oppsummering-forelesning og LA-tid			
17	Seminar - 3t	22.04.2025 12:15	Prosjektoppgave			Arbeidstid - stud.ass			
18	Seminar - 3t	28.04.2025 12:15	Prosjektoppgave			Arbeidstid - stud.ass			
19	Seminar 5t	06.05.2025 10:15	Prosjektoppgave			Expo			
